Object_ID,Funding Agency,Year,State,City,Grantee,Awarded Funds,Spent Funds (if applicable) ,"Classification 1: Project Type, primary code (a)","Classification 1: Project Type, primary code (b)","Classification 1: Project Type, primary code (c)","Classification 1: Project Type, secondary code (a)","Classification 1: Project Type, secondary code (b)","Classification 1: Project Type, secondary code (c)",Classification 2: Infrastructure type (I),Classification 2: Infrastructure type (II),Classification 3: Industrial Sector (i),Classification 3: Industrial Sector (ii),Project Title,Award ID,count,FIPS,fips2,County,PctPopChg_09to19,PctChange_MiningEmploy_09to15,mine emply bands,NewMineFlag_09to15,NonMiningFlag_09to15,ARC_Flag,Status,AvgUnempRate_3yr,PerCapMktInc,PovertyRt_5yr,AvgUnemp_PctOfUS_3yr,PCMI_pctOfUs,PovRt_PercOfUS,IndexValueRank,Quartile,EMPTHREEYEAR,UNEMPTHREEYEAR,BEAPOP,PoveryPop_5YrMean
0,EDA,2017,Alabama,Birmingham,Southern Research Institute,397665,,Health,,,Infrastructure Investment,,,Building Construction/Renovation,,"health, social services",,,047907238,1,1073,1073,Jefferson County,0.00016249889895605848,0.35391304347826086,0.35391304347826086,0,0,ARC,Transitional,6.8,40010.0,18.7,94.5,105.0,119.9,1272.0,2.0,292906.0,21387.0,660793.0,120510.0
5,ARC,2017,Alabama,Birmingham,Southern Research Institute,1200000,,Business Development,,,Entrepreneurial Support;Technical Assistance,,,,,Multi-sector/multi-career prep,,The Prosperity Fund - Fostering Entrepreneurial Activity in Coal Impacted Communities in Alabama,,1,1073,1073,Jefferson County,0.00016249889895605848,0.35391304347826086,0.35391304347826086,0,0,ARC,Transitional,6.8,40010.0,18.7,94.5,105.0,119.9,1272.0,2.0,292906.0,21387.0,660793.0,120510.0
10,ARC,2020,Alabama,Birmingham,"Opportunity Alabama, Inc.",733150,,"Research, Planning, Feasibility Studies",Leadership and community capacity development,,Economic or Business Development Planning,Investment in Leadership/Community Resources,,,,Undefined/nonspecific,,Creating Opportunity for Alabama (COAL) Initiative,,1,1073,1073,Jefferson County,0.00016249889895605848,0.35391304347826086,0.35391304347826086,0,0,ARC,Transitional,5.3,42732.0,17.6,108.7,99.7,120.5,1334.0,2.0,294060.0,16303.0,659197.0,113368.0
2,ARC,2016,Alabama,Birmingham,Southern Research Institute,60202,,"Research, Planning, Feasibility Studies",,,Economic or Business Development Planning,,,,,Undefined/nonspecific,,Fostering Entrepreneurial Activity in Coal Impacted Communities in Alabama,,1,1073,1073,Jefferson County,0.00016249889895605848,0.35391304347826086,0.35391304347826086,0,0,ARC,Transitional,6.9,37785.0,18.0,85.3,101.8,117.1,1203.0,2.0,284452.0,21191.0,659479.0,115966.0
1,ARC,2016,Alabama,Florence,Shoals Entrepreneurial Center,997150,,Business Development,,,Access to Capital;Entrepreneurial Support;Technical Assistance,,,,,Business Services/Technologies,,Shoals Shift,,1,1077,1077,Lauderdale County,0.00021572878577052928,0.0,0.0,0,1,ARC,Transitional,6.8,25664.0,17.2,83.4,69.1,111.9,1691.0,3.0,41364.0,3008.0,92797.0,15594.0
3,ARC,2017,Alabama,Madison,Alabama Center for Sustainable Energy (ALCSE) d/b/a Energy Alabama,77680,,"Research, Planning, Feasibility Studies",,,Workforce Training Program Planning,,,,,Multi-sector/multi-career prep,,Alabama Advanced Energy Economic Impact Report (AAEEIR),,1,1089,1089,Madison County,0.11378957083249953,0.0,0.0,0,1,ARC,Transitional,6.5,37574.0,13.4,90.5,98.6,85.9,910.0,2.0,159223.0,11103.0,350299.0,44895.0
9,ARC,2019,Alabama,Hamilton,Tombigbee Electric Cooperative Inc,774912,,Economic Asset Development,,,Infrastructure Investment,,,Broadband,,,,Northwest Alabama Revitalization,ARC19C19679,1,1093,1093,Marion County,-0.03466987262802183,-1.0,-1.0,0,0,ARC,At-Risk,7.2,19558.0,18.6,132.2,48.1,123.3,2610.0,4.0,11578.0,896.0,29998.0,5509.0
7,ARC,2018,Alabama,Montgomery,AL Community College System,1750000,,Education and Workforce Development,,,Training Program,,,,,Manufacturing,,Alabama S.T.R.O.N.G (Skills Training to support Real Opportunities for New Job Growth),,1,1101,1101,Montgomery County,-0.012543435514882522,0.0,0.0,0,1,,Transitional,6.8,31546.0,22.6,108.2,79.3,146.0,1980.0,3.0,97760.0,7119.0,226519.0,49918.0
6,ARC,2017,Alabama,Tuscaloosa,West Alabama Works,1500810,,Education and Workforce Development,,,Infrastructure Investment;Training Program,,,Building Construction/Renovation,,Multi-sector/multi-career prep,,West Alabama Works 2020 initiative,,1,1125,1125,Tuscaloosa County,0.07551269932599046,-0.6068965517241379,-0.6068965517241379,0,0,ARC,Transitional,6.5,28011.0,18.4,89.9,73.5,118.2,1674.0,3.0,89718.0,6214.0,202212.0,34729.0
8,ARC,2019,Alabama,Tuscaloosa,West Alabama Works,1459335,,Education and Workforce Development,,,Training Program,,,,,Undefined/nonspecific,,POWER2 Expand Initiative,,1,1125,1125,Tuscaloosa County,0.07551269932599046,-0.6068965517241379,-0.6068965517241379,0,0,ARC,Transitional,5.7,28098.0,18.0,105.4,69.1,118.9,1818.0,3.0,92321.0,5611.0,206102.0,34470.0
